email,class code,
MAG0006,"11FA-G,11ENG-2,11CHM-2,11VIS-2,11MGF-3,11PSY-4,11MED-2"
HUT0009,"10ENG-H,10FA-H,10GEO-2a,10HIS-2b,10MAT-2c,10PEd-H,10SCI-2c,10FRE-1,10DRA-2,10OEd-5"
SAM0002,"12LEG-1,12MED-2,12ThS-1,12MuP-1,12ENG-8"
POL0015,"07ART-F,07ENG-F,07FA-F,07FOO-F,07FRE-F,07GEO-F,07HIS-F,07ICT-F,07MAT-2b,07MEB-Bnd1,07MUS-F,07PEd-F,07SCI-2b,07SPT-1-VolleyballF"
SAM0004,"11FA-J,11PSY-1,11ThS-1,11MGF-2,11ENG-7,11PEd-2,11MuP-1"
SAM0005,"11FA-J,11ENG-3,11CHM-2,12MMe-4,11MGM-3,11MuP-1"
SAM0007,"11FA-J,11POL-1,11ENG-4,11LEG-2,11MGF-3,11LIT-1,11PSY-5"
SAM0009,"09BYT-A7,09ENG-B,09FA-B,09GEO-B,09HIS-B,09MAT-1b,09PEd-B,09SCI-1b,09ART-2,09MSL-1,093DM-3,09MUSb-1"
ZIV0001,"09BYT-B8,09ENG-J,09FA-J,09GEO-J,09HIS-J,09MAT-J,09PEd-J,09SCI-J,09DRA-1,09MSL-1,093DM-4,09FOO-4"
MUL0007,"12MMe-1,12ENG-4,12CHM-2,12BIO-4,12GEO-2"
ZIV0003,"07ART-L,07ENG-L,07FA-L,07FOO-L,07FRE-L,07GEO-L,07HIS-L,07ICT-L,07MAT-L,07MUS-L,07PED-L,07SCI-L,07SPT-1-VolleyballM1"
SUR0004,"11FA-K,11ENG-3,11PSY-2,11MMe-5,11BUS-2,12ECO-1,11ACC-2"
LE-0004,"09BYT-B4,09ENG-I,09FA-I,09GEO-I,09HIS-I,09MAT-2b,09PEd-I,09SCI-2b,09CTc-2,09LIT-1,09FOO-5,09VIS-4"
SUR0005,"12MFu-1,12MMe-2,12ENG-4,12VIS-1,12CHM-3"
ma-0006,"09BYT-B5,09ENG-G,09FA-G,09GEO-G,09HIS-G,09MAE-2,09PEd-G,09SCE-2,09CTc-2,09FOO-1,09CER-3,09MSL-5"
WEE0004,"08ACE-F,08ENG-F,08FA-F,08FRE-F,08GEO-F,08HIS-F,08MAT-2b,08MEB-Bnd1,08MUS-F,08PEd-F,08SCI-2b,08V3D-F,08Spt-1-Multisports,08Spt-2-Multisports"
LE-0007,"07ART-E,07ENG-E,07FA-E,07FOO-E,07GEO-E,07GMN-E,07HIS-E,07ICT-E,07MAT-2b,07MEB-Bnd1,07MUS-E,07PEd-E,07SCI-2b,07SPT-1-TennisM1"
GEO0011,"09BYT-B3,09ENG-I,09FA-I,09GEO-I,09HIS-I,09MAT-2b,09PEd-I,09SCI-2b,09CER-1,09DRA-1,09MSL-5,09MUSa-1"
LE-0008,"07ART-N,07ENG-N,07FA-N,07FOO-N,07FRE-N,07GEO-N,07HIS-N,07ICT-N,07MAT-N,07MUS-N,07PED-N,07SCI-N,07SPT-1-CricketM1"
GEO0012,"11FA-D,12PSY-2,11ENG-4,11MMe-5,11BIO-2,11LIT-1,11MED-2"
LE-0009,"10EAL-1,10FA-A,10GEO-1a,10HIS-1b,10MAT-1b,10PEd-A,10SCI-1b,10CWr-1,10FOO-1,10BUS-4,10ICT-1"
GEO0017,"08ACE-I,08ENG-I,08FA-I,08GEO-I,08GMN-I,08HIS-I,08MAT-I,08MUS-I,08PEd-I,08SCI-I,08V3D-I,08Spt-1-Swimming"
GEO0018,"08ACE-C,08ENG-C,08FA-C,08GEO-C,08GMN-C,08HIS-C,08MAT-1b,08MES-Str,08MUS-C,08PEd-C,08SCI-1b,08V3D-C,08Spt-1-BaseballM1"
HUT0011,"07ART-L,07ENG-L,07FA-L,07FOO-L,07FRE-L,07GEO-L,07HIS-L,07ICT-L,07MAT-L,07MUS-L,07PED-L,07SCI-L,07SPT-1-Athletics1"
STY0002,"12SDv-1,12MFu-2,12HEA-2,12ENG-5,12ITA-1"
SAM0010,"10ENG-C,10FA-C,10GEO-3b,10HIS-3a,10MAE-1,10PEd-C,10SCE-1,10PHL-1,10OEd-2,10FIL-4,10FOO-2"
FOR0008,"09BYT-B2,09ENG-J,09FA-J,09GEO-J,09HIS-J,09MAT-J,09PEd-J,09SCI-J,09CTc-1,09VIS-2,09CER-3,09FOO-6"
AND0021,"12ENL-1,12ACC-1,12VIS-1,12BUS-3,12MMe-5"
SAM0012,"12PSY-3,12LEG-1,12BUS-3,12EAL-2"
SAM0013,"07ART-G,07ENG-G,07FA-G,07FOO-G,07GEO-G,07GMN-G,07HIS-G,07ICT-G,07MAE-2,07MEB-NonBnd,07MUS-G,07PEd-G,07SCE-2,07SPT-1-Swimming1"
SEN0012,"08ACE-J,08ENG-J,08FA-J,08FRE-J,08GEO-J,08HIS-J,08MAT-J,08MUS-J,08PEd-J,08SCI-J,08V3D-J,08Spt-1-Super8sF"
OCK0001,"09BYT-A6,09ENG-C,09FA-C,09GEO-C,09HIS-C,09MAT-1a,09PEd-C,09SCI-1a,09CER-2,09CTc-1,093DM-4,09MSL-3"
AND0023,"12PSY-2,12MED-2,12ThS-1,12ENG-5,12BIO-4"
AND0024,"11FA-A,11CHM-1,11PEd-1,11MMe-5,11ENG-10,11PHY-2,12GEO-2"
MUL0010,"11FA-H,11ENG-3,11PEd-1,11HIS-2,11GEO-1,11MGF-4,11ECO-2"
MUL0011,"10ENG-F,10FA-F,10HIE-2a,10HIE-2b,10MAE-2,10PEd-F,10SCE-2,10DRA-1,10FIL-2,10FRE-2"
AND0026,"10ENG-H,10FA-H,10GEO-3a,10HIS-3b,10MAA-2,10PEd-H,10SCI-2a,10DRA-1,10FIL-2,10CER-1,10OEd-4"
AND0027,"10ENG-B,10FA-B,10GEO-3b,10HIS-3a,10MAE-1,10PEd-B,10SCE-1,10FIL-2,10OEd-1,10BUS-3,10DRA-2"
MUL0014,"10ENG-F,10FA-F,10GEO-2a,10HIS-2b,10MAT-2a,10PEd-F,10SCI-2c,10ART-1,10FOO-1,10DCT-1,10DRA-2"
MUL0016,"08ACE-I,08ENG-I,08FA-I,08GEO-I,08GMN-I,08HIS-I,08MAT-I,08MUS-I,08PEd-I,08SCI-I,08V3D-I,08Spt-1-SoftballF1"
